model_detail_slug,popularity,rate
1000001_ah,A,-0.12856164678025403
1000001_ah,B,-0.12637295778865995
1000002_ah,A,-0.0978057303058542
1000002_ah,B,0.033559260779323585
1000003_ah,A,-0.10386726783114561
1000003_ah,B,3.2126334316640673e-06
1000004_ah,A,-0.153000226699904
1000004_ah,B,-0.09141838688539054
1000014_ah,A,-0.09995969478773929
1000014_ah,B,0.06353704586407394
1000015_ah,A,0.0119404834922852
1000015_ah,B,0.06647388221769317
1000018_ah,A,-0.009527203422211718
1000018_ah,B,-0.1039524573465387
1000019_ah,A,-0.012996757969956209
1000019_ah,B,-0.3270707312335429
1000022_ah,A,-0.0021835372893915894
1000023_ah,A,-0.15906572055314686
1000023_ah,B,0.0896768844302672
1000024_ah,A,-0.2270307369325542
1000024_ah,B,-0.12493864025791618
1000025_ah,A,-0.06909929836810717
1000025_ah,B,-0.12886577147035416
1000026_ah,A,-0.11157451361258995
1000026_ah,B,-0.07981940181538857
1000027_ah,A,-0.02628447459294355
1000028_ah,A,-0.06054159477170991
1000029_ah,A,0.07438314398110683
1000030_ah,A,-0.0339517349577179
1000031_ah,A,-0.08032777293743183
1000031_ah,B,-0.18756389520723546
1000032_ah,A,0.3107782325778303
1000032_ah,B,-0.07493207205240897
1000033_ah,A,-0.10344501308925877
1000033_ah,B,-0.1413369975453686
1000034_ah,A,-0.03813942666843227
1000034_ah,B,-0.0648073811871005
1000037_ah,B,-0.019837326497228285
1000037_ah,C,-0.01881249232647164
1000038_ah,B,-0.018717902928800215
1000038_ah,C,-0.07449762077580979
1000039_ah,B,-0.01617719854269316
1000039_ah,C,-0.014477763737775092
1000041_ah,B,-0.018444688356457323
1000041_ah,C,-0.018606212872479055
1000042_ah,B,0.09486551356600682
1000043_ah,B,0.13365095857967538
1000043_ah,C,-0.013403942293458454
1000045_ah,B,0.2781762556245919
1000046_ah,B,-0.023604947095409223
1000047_ah,B,-0.016189104286294116
1000047_ah,C,-0.02862242921498698
1000049_ah,B,-0.016452758175759773
1000049_ah,C,-0.007657988117774377
1000050_ah,B,-0.3286327139078362
1000050_ah,C,-0.012355332997435449
1000051_ah,C,-0.02387399911232654
1000052_ah,B,-0.010631023673246826
1000053_ah,B,-0.024530401289113442
1000054_ah,B,-0.020649687694046397
1000054_ah,C,0.15094649584173953
1000057_ah,B,-7.050977185129036e-05
1000057_ah,C,-0.021801134808785903
1000058_ah,C,0.13402332043883192
1000059_ah,B,0.058214108771633556
1000059_ah,C,-0.029222858259059837
1000060_ah,B,-0.019915851719657887
1000065_ah,A,-0.01997651488027737
1000065_ah,B,0.020970251385553022
1000066_ah,A,-0.02377262931470149
1000066_ah,B,-0.018147542697102885
1000067_ah,A,-0.02163521609166582
1000067_ah,B,0.061670590356499
1000068_ah,B,-0.01842477540254076
1000069_ah,A,-0.01668620457419939
1000069_ah,B,-0.011849418891194858
1000069_ah,C,-0.013484470621650757
1000070_ah,A,-0.006666004683012688
1000070_ah,B,-0.005238303354591522
1000070_ah,C,-0.017318484242835858
1000071_ah,B,0.16373372106251968
1000072_ah,B,-0.019872250167196313
1000072_ah,C,-0.022837888325985822
1000073_ah,A,0.05436232274447666
1000073_ah,B,-0.019386492234917035
1000075_ah,A,-0.005493132354581359
1000075_ah,B,0.12104960839711418
1000076_ah,A,-0.009951566288842143
1000076_ah,B,-0.01793672524214754
1000076_ah,C,0.07699695405924047
1000077_ah,A,-0.02020457499077653
1000078_ah,B,-0.014825169408270758
1000079_ah,B,0.009102987570250413
1000080_ah,A,-0.006971085740060009
1000080_ah,B,0.10473403111567155
1000081_ah,A,-0.015299406603244482
1000081_ah,B,-0.021227317724505066
1000082_ah,A,-0.14749169808082588
1000082_ah,B,-0.015519222368138564
1000084_ah,A,-0.08535638503408918
1000084_ah,B,-0.013279248445912308
1000085_ah,A,0.14484081993708434
1000087_ah,B,-0.014358009019081332
1000088_ah,A,0.0004563852128872483
1000088_ah,B,0.025439372963717715
1000089_ah,B,-0.013183634751073094
1000090_ah,B,-0.005966304825054886
1000091_ah,A,-0.024433287816345857
1000091_ah,B,0.06554190446842481
1000092_ah,A,-0.009432256198763762
1000092_ah,B,0.09502700177844811
1000093_ah,A,0.01451504669396666
1000093_ah,B,0.039575457515105404
1000093_ah,C,-0.0202813828200511
1000094_ah,A,-0.017824469888296352
1000094_ah,B,-0.01783428408777545
1000095_ah,B,0.0012591524633640922
1000095_ah,C,-0.20878590671201802
1000104_ah,B,-0.020059792675666353
1000107_ah,B,-0.028268338466783807
1000107_ah,C,-0.006284773418718442
1000108_ah,B,-0.3058975149207748
1000108_ah,C,-0.20771694855944778
1000109_ah,B,-0.018133472567661114
1000109_ah,C,-0.29182537667461045
1000110_ah,B,-0.019664468125116262
1000110_ah,C,-0.01959813063020779
1000111_ah,B,-0.01882475513336247
1000111_ah,C,0.2886179713937612
1000112_ah,B,-0.09309512281344733
1000112_ah,C,-0.011924521032406214
1000113_ah,B,-0.017759981081953417
1000114_ah,B,-0.017105048051579187
1000123_ah,B,-0.360454025036087
1000123_ah,C,-0.024751105531504145
1000124_ah,B,-0.2495795565672891
1000125_ah,B,0.006774233386849554
1000126_ah,B,-0.018797449945937107
1000127_ah,B,0.0581754305581836
1000127_ah,C,-0.018259257080030913
1000128_ah,B,-0.0534601963276504
1000128_ah,C,-0.4302918236226282
1000129_ah,B,-0.0960019795115363
1000130_ah,B,-0.4398103777825783
1000131_ah,B,-0.2552224365416958
1000132_ah,B,-0.24690940478552953
1000133_ah,B,-0.27559346446910193
1000134_ah,B,-0.054094500253022
1000135_ah,B,0.8331390491387253
1000135_ah,C,-0.023423818892980244
1000136_ah,B,0.46715646392737475
1000136_ah,C,-0.01654562882399765
1000137_ah,B,0.5506744023934054
1000137_ah,C,-0.022955939353658302
1000138_ah,B,-0.276741858408513
1000138_ah,C,-0.09676486245770584
1000139_ah,B,0.0414112925802717
1000139_ah,C,-0.12625701889547333
1000140_ah,B,-0.33208156067406147
1000140_ah,C,-0.01691259431502369
1000141_ah,B,-0.36001907211860146
1000141_ah,C,-0.017943814359191176
1000142_ah,B,-0.09247071537105786
1000142_ah,C,-0.021971767797015342
1000143_ah,B,-0.05577228960126843
1000143_ah,C,-0.2565814849888081
1000144_ah,B,-0.2747834531977484
1000145_ah,B,-0.0942477601024775
1000146_ah,B,-0.2065414862049609
1000146_ah,C,-0.004331855094165368
1000147_ah,B,-0.03241351182807646
1000148_ah,B,-0.02170968934166137
1000149_ah,B,-0.1967502510396645
